sl_no,hsc_p,degree_p,etest_p,mba_p,salary,gender_encoded,hsc_s_encoded,degree_t_encoded,specialisation_encoded,gender_F,gender_M,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,specialisation_Mkt&Fin,specialisation_Mkt&HR
154,59.0,65.0,86.0,62.48,340000.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
155,63.0,60.0,70.0,53.2,250000.0,1,2,0,0,0,1,0,0,1,1,0,0,1,0
157,69.4,65.0,80.0,52.72,255000.0,1,2,2,1,0,1,0,0,1,0,0,1,0,1
158,62.5,60.9,93.4,55.03,300000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
161,74.0,65.0,75.0,72.29,300000.0,1,2,2,1,0,1,0,0,1,0,0,1,0,1
163,87.6,77.25,75.2,66.06,285000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
164,67.0,64.0,75.0,66.46,423250.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
165,72.5,63.35,53.04,65.52,250000.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
167,62.0,60.0,63.0,52.38,240000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
172,80.0,72.0,63.79,66.04,290000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
173,58.0,56.0,84.0,52.64,300000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
175,50.83,64.27,64.0,66.23,423250.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
177,60.0,56.0,55.0,57.9,220000.0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
178,97.0,79.0,89.0,70.81,423250.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
179,56.0,68.0,73.0,68.07,350000.0,1,2,2,1,0,1,0,0,1,0,0,1,0,1
181,71.5,62.8,57.0,56.6,265000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
184,77.0,69.0,60.0,61.82,276000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
186,72.0,78.0,82.0,71.43,252000.0,0,2,1,1,1,0,0,0,1,0,1,0,0,1
188,65.5,67.0,95.0,64.86,280000.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
192,61.0,72.0,72.0,61.01,264000.0,1,2,0,0,0,1,0,0,1,1,0,0,1,0
193,61.4,64.8,93.4,57.34,270000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
194,63.0,56.0,80.0,56.63,300000.0,0,0,1,1,1,0,1,0,0,0,1,0,0,1
196,76.0,72.0,84.0,58.95,275000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
197,63.0,77.5,78.0,54.48,250000.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
198,53.0,91.0,59.32,69.71,260000.0,0,2,2,1,1,0,0,0,1,0,0,1,0,1
200,65.0,57.0,73.0,55.8,265000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
201,60.0,65.0,87.55,52.81,300000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
203,63.0,66.0,61.28,60.11,240000.0,1,2,2,1,0,1,0,0,1,0,0,1,0,1
204,61.33,56.87,66.0,58.3,260000.0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
205,73.0,73.0,80.0,67.69,210000.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
206,62.0,65.0,62.0,56.81,250000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
208,78.0,61.0,88.56,71.55,300000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
210,72.0,65.0,67.0,56.49,216000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
211,82.0,77.6,91.0,74.49,400000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
212,60.0,72.0,74.0,53.62,275000.0,1,2,2,0,0,1,0,0,1,0,0,1,1,0
213,67.0,73.0,59.0,69.72,295000.0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
214,66.0,58.0,70.0,60.23,206100.0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
