sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
34,F,65.0,Science,81.0,Comm&Mgmt,88.0,Mkt&Fin,72.78,260000.0
36,F,78.0,Commerce,72.0,Comm&Mgmt,71.0,Mkt&HR,62.74,300000.0
38,F,76.0,Science,65.6,Sci&Tech,58.0,Mkt&HR,55.47,320000.0
39,F,58.0,Science,66.0,Comm&Mgmt,53.7,Mkt&HR,56.86,240000.0
40,M,68.0,Science,64.0,Sci&Tech,93.0,Mkt&Fin,62.56,411000.0
41,F,77.0,Commerce,80.0,Comm&Mgmt,60.0,Mkt&Fin,66.72,287000.0
44,M,87.0,Commerce,68.0,Comm&Mgmt,95.0,Mkt&HR,62.9,300000.0
45,F,73.0,Commerce,81.0,Comm&Mgmt,89.0,Mkt&Fin,69.7,200000.0
48,M,60.0,Commerce,57.0,Comm&Mgmt,78.0,Mkt&Fin,54.55,204000.0
49,M,62.0,Commerce,68.0,Comm&Mgmt,64.0,Mkt&Fin,62.46,250000.0
51,F,73.2,Science,68.4,Comm&Mgmt,65.0,Mkt&HR,62.98,200000.0
54,M,70.0,Science,72.0,Sci&Tech,87.0,Mkt&HR,71.04,450000.0
55,F,60.0,Science,69.0,Comm&Mgmt,73.1408904109589,Mkt&HR,65.56,216000.0
56,M,66.6,Science,65.0,Comm&Mgmt,71.0,Mkt&HR,52.71,220000.0
57,M,71.4,Commerce,61.4,Comm&Mgmt,68.0,Mkt&Fin,66.88,240000.0
58,M,76.0,Commerce,74.0,Comm&Mgmt,80.0,Mkt&Fin,63.59,360000.0
59,M,62.0,Science,68.0,Comm&Mgmt,74.0,Mkt&Fin,57.99,268000.0
60,M,65.58,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,265000.0
61,M,70.0,Science,72.0,Comm&Mgmt,60.0,Mkt&Fin,57.24,260000.0
62,M,73.4,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,300000.0
63,F,64.2,Science,67.4,Sci&Tech,59.0,Mkt&Fin,59.69,240000.0
65,M,73.0,Commerce,75.0,Comm&Mgmt,61.0,Mkt&Fin,58.78,240000.0
67,M,74.0,Science,66.0,Comm&Mgmt,68.92,Mkt&HR,58.46,275000.0
68,M,78.5,Commerce,67.0,Comm&Mgmt,68.71,Mkt&Fin,60.99,275000.0
70,M,73.0,Science,66.0,Sci&Tech,70.0,Mkt&Fin,68.07,275000.0
71,M,61.0,Science,62.0,Sci&Tech,89.0,Mkt&Fin,65.45,360000.0
72,M,70.29,Commerce,71.0,Comm&Mgmt,95.0,Mkt&Fin,66.94,240000.0
73,M,67.0,Science,78.0,Comm&Mgmt,95.5,Mkt&Fin,68.53,240000.0
74,M,83.83,Commerce,71.72,Comm&Mgmt,86.0,Mkt&Fin,59.75,218000.0
75,M,64.8,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,336000.0
77,F,70.4,Arts,71.93,Comm&Mgmt,61.0,Mkt&Fin,64.27,230000.0
78,M,80.0,Science,65.0,Sci&Tech,69.0,Mkt&Fin,57.65,500000.0
79,M,90.9,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,270000.0
81,F,62.0,Commerce,69.0,Comm&Mgmt,67.0,Mkt&HR,62.35,240000.0
82,M,63.0,Science,67.0,Comm&Mgmt,86.0,Mkt&Fin,70.2,300000.0
84,M,79.0,Science,68.0,Sci&Tech,84.0,Mkt&Fin,66.69,300000.0
85,M,63.0,Science,70.0,Sci&Tech,55.0,Mkt&Fin,62.0,300000.0
86,F,89.83,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,400000.0
87,M,63.0,Commerce,64.0,Comm&Mgmt,67.0,Mkt&Fin,57.03,220000.0
89,F,62.0,Commerce,73.0,Comm&Mgmt,58.0,Mkt&HR,64.36,210000.0
90,F,75.0,Science,69.0,Sci&Tech,62.0,Mkt&HR,62.36,210000.0
91,F,90.0,Commerce,82.0,Comm&Mgmt,92.0,Mkt&Fin,68.03,300000.0
93,F,69.0,Science,66.0,Comm&Mgmt,72.0,Mkt&Fin,59.47,230000.0
95,M,62.0,Commerce,64.0,Comm&Mgmt,53.88,Mkt&Fin,54.97,260000.0
96,M,78.0,Commerce,65.0,Comm&Mgmt,95.46,Mkt&Fin,62.16,420000.0
97,F,70.0,Science,76.0,Comm&Mgmt,66.0,Mkt&Fin,64.44,300000.0
99,F,73.0,Commerce,65.0,Comm&Mgmt,70.0,Mkt&Fin,57.31,220000.0
102,M,72.0,Commerce,68.0,Comm&Mgmt,78.0,Mkt&HR,60.44,380000.0
103,F,61.0,Commerce,68.0,Comm&Mgmt,57.5,Mkt&Fin,61.31,300000.0
104,M,78.0,Science,73.0,Sci&Tech,85.0,Mkt&HR,65.83,240000.0
105,M,63.0,Science,65.0,Comm&Mgmt,55.0,Mkt&HR,58.23,360000.0
108,M,90.0,Commerce,83.0,Comm&Mgmt,80.0,Mkt&HR,73.52,200000.0
109,M,82.0,Commerce,69.0,Comm&Mgmt,84.0,Mkt&Fin,58.31,300000.0
111,F,70.0,Science,72.0,Sci&Tech,57.2,Mkt&HR,54.8,250000.0
113,M,61.0,Commerce,61.0,Comm&Mgmt,58.0,Mkt&HR,53.94,250000.0
114,F,79.0,Commerce,67.0,Comm&Mgmt,72.15,Mkt&Fin,63.08,280000.0
115,M,68.0,Science,69.0,Comm&Mgmt,53.7,Mkt&HR,55.01,250000.0
116,F,63.0,Science,66.0,Comm&Mgmt,89.0,Mkt&Fin,60.5,216000.0
117,M,72.8,Commerce,66.6,Comm&Mgmt,96.0,Mkt&Fin,70.85,300000.0
118,M,75.0,Science,73.0,Sci&Tech,80.0,Mkt&Fin,67.05,240000.0
119,M,80.0,Science,78.0,Sci&Tech,97.0,Mkt&HR,70.48,276000.0
120,M,68.4,Commerce,64.6,Comm&Mgmt,73.1408904109589,Mkt&Fin,64.34,940000.0
122,F,67.0,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,250000.0
123,F,66.8,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71.0,236000.0
124,M,59.0,Commerce,73.0,Comm&Mgmt,60.0,Mkt&HR,56.7,240000.0
125,M,71.0,Science,64.33,Others,64.0,Mkt&HR,61.26,250000.0
126,F,73.0,Commerce,73.0,Comm&Mgmt,75.0,Mkt&Fin,73.33,350000.0
127,F,61.0,Science,75.5,Sci&Tech,70.0,Mkt&Fin,68.2,210000.0
128,F,60.0,Science,69.0,Comm&Mgmt,55.5,Mkt&HR,58.4,250000.0
129,M,73.4,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,400000.0
130,M,89.7,Commerce,66.0,Comm&Mgmt,90.0,Mkt&Fin,68.55,250000.0
132,F,57.0,Science,62.0,Others,80.0,Mkt&Fin,60.78,360000.0
133,M,68.0,Commerce,64.0,Comm&Mgmt,74.4,Mkt&HR,53.49,300000.0
134,M,64.0,Commerce,77.0,Comm&Mgmt,65.0,Mkt&HR,60.98,250000.0
135,F,92.0,Commerce,72.0,Comm&Mgmt,94.0,Mkt&Fin,67.13,250000.0
136,F,56.0,Science,69.0,Comm&Mgmt,55.6,Mkt&HR,65.63,200000.0
138,M,63.0,Commerce,72.0,Comm&Mgmt,56.0,Mkt&HR,60.41,225000.0
139,F,64.0,Science,73.0,Sci&Tech,96.0,Mkt&Fin,71.77,250000.0
140,M,70.0,Commerce,59.0,Comm&Mgmt,58.0,Mkt&Fin,54.43,220000.0
141,M,64.8,Commerce,69.5,Comm&Mgmt,56.0,Mkt&Fin,56.94,265000.0
143,M,60.0,Science,73.43,Sci&Tech,60.0,Mkt&Fin,61.29,260000.0
144,M,64.89,Commerce,70.67,Comm&Mgmt,89.0,Mkt&Fin,60.39,300000.0
146,M,65.66,Science,71.25,Sci&Tech,72.0,Mkt&HR,63.23,400000.0
147,M,63.0,Science,66.0,Comm&Mgmt,85.0,Mkt&HR,55.14,233000.0
148,M,74.0,Commerce,65.0,Comm&Mgmt,83.0,Mkt&Fin,62.28,300000.0
149,F,86.0,Arts,56.0,Others,57.0,Mkt&Fin,64.08,240000.0
151,M,58.66,Science,58.0,Sci&Tech,56.0,Mkt&Fin,61.3,690000.0
152,M,65.0,Commerce,75.0,Comm&Mgmt,83.0,Mkt&Fin,58.87,270000.0
153,F,60.5,Science,84.0,Sci&Tech,98.0,Mkt&Fin,65.25,240000.0
154,M,59.0,Science,65.0,Sci&Tech,86.0,Mkt&Fin,62.48,340000.0
155,M,63.0,Science,60.0,Comm&Mgmt,70.0,Mkt&Fin,53.2,250000.0
157,M,69.4,Science,65.0,Sci&Tech,80.0,Mkt&HR,52.72,255000.0
158,M,62.5,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000.0
161,M,74.0,Science,65.0,Sci&Tech,75.0,Mkt&HR,72.29,300000.0
163,M,87.6,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000.0
164,M,67.0,Science,64.0,Sci&Tech,75.0,Mkt&Fin,66.46,500000.0
165,F,72.5,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000.0
167,M,62.0,Commerce,60.0,Comm&Mgmt,63.0,Mkt&HR,52.38,240000.0
172,M,80.0,Commerce,72.0,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000.0
173,M,58.0,Commerce,56.0,Comm&Mgmt,84.0,Mkt&HR,52.64,300000.0
175,M,50.83,Science,64.27,Sci&Tech,64.0,Mkt&Fin,66.23,500000.0
177,F,60.0,Commerce,56.0,Comm&Mgmt,55.0,Mkt&HR,57.9,220000.0
178,F,97.0,Commerce,79.0,Comm&Mgmt,89.0,Mkt&Fin,70.81,650000.0
179,M,56.0,Science,68.0,Sci&Tech,73.0,Mkt&HR,68.07,350000.0
181,M,71.5,Commerce,62.8,Comm&Mgmt,57.0,Mkt&Fin,56.6,265000.0
184,M,77.0,Commerce,69.0,Comm&Mgmt,60.0,Mkt&HR,61.82,276000.0
186,F,72.0,Science,78.0,Others,82.0,Mkt&HR,71.43,252000.0
188,M,65.5,Science,67.0,Sci&Tech,95.0,Mkt&Fin,64.86,280000.0
192,M,61.0,Science,72.0,Comm&Mgmt,72.0,Mkt&Fin,61.01,264000.0
193,M,61.4,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000.0
194,F,63.0,Arts,56.0,Others,80.0,Mkt&HR,56.63,300000.0
196,M,76.0,Commerce,72.0,Comm&Mgmt,84.0,Mkt&HR,58.95,275000.0
197,M,63.0,Science,77.5,Sci&Tech,78.0,Mkt&Fin,54.48,250000.0
198,F,53.0,Science,91.0,Sci&Tech,59.32,Mkt&HR,69.71,260000.0
200,M,65.0,Commerce,57.0,Comm&Mgmt,73.0,Mkt&HR,55.8,265000.0
201,M,60.0,Commerce,65.0,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000.0
203,M,63.0,Science,66.0,Sci&Tech,61.28,Mkt&HR,60.11,240000.0
204,M,61.33,Commerce,56.87,Comm&Mgmt,66.0,Mkt&HR,58.3,260000.0
205,F,73.0,Commerce,73.0,Comm&Mgmt,80.0,Mkt&Fin,67.69,210000.0
206,M,62.0,Commerce,65.0,Comm&Mgmt,62.0,Mkt&Fin,56.81,250000.0
208,M,78.0,Commerce,61.0,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000.0
210,M,72.0,Commerce,65.0,Comm&Mgmt,67.0,Mkt&Fin,56.49,216000.0
211,M,82.0,Commerce,77.6,Comm&Mgmt,91.0,Mkt&Fin,74.49,400000.0
212,M,60.0,Science,72.0,Sci&Tech,74.0,Mkt&Fin,53.62,275000.0
213,M,67.0,Commerce,73.0,Comm&Mgmt,59.0,Mkt&Fin,69.72,295000.0
214,F,66.0,Commerce,58.0,Comm&Mgmt,70.0,Mkt&HR,60.23,204000.0
