time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-11 05:00:00,5.3,7.4,10.7,24.0
2026-08-11 06:00:00,5.5,7.4,10.8,25.0
2026-08-11 07:00:00,6.3,8.2,10.7,26.0
2026-08-11 08:00:00,5.5,7.5,10.1,30.0
2026-08-11 09:00:00,5.6,8.2,8.3,39.0
2026-08-11 10:00:00,5.9,9.5,5.8,51.0
2026-08-11 11:00:00,6.9,12.0,3.9,62.0
2026-08-11 12:00:00,7.4,13.4,2.8,71.0
2026-08-11 13:00:00,7.8,14.2,2.4,80.0
2026-08-11 14:00:00,8.1,14.7,2.9,84.0
2026-08-11 15:00:00,8.2,15.0,4.8,82.0
2026-08-11 16:00:00,8.5,13.6,7.7,77.0
2026-08-11 17:00:00,12.6,20.8,18.1,57.0
2026-08-11 18:00:00,14.5,21.1,21.9,50.0
2026-08-11 19:00:00,15.7,21.9,27.0,41.0
2026-08-11 20:00:00,16.0,22.6,29.4,35.0
2026-08-11 21:00:00,14.5,20.4,26.6,34.0
2026-08-11 22:00:00,12.5,17.1,21.0,35.0
2026-08-11 23:00:00,10.2,13.6,16.2,36.0
2026-08-12 00:00:00,8.0,10.5,13.3,35.0
2026-08-12 01:00:00,6.4,8.6,11.2,34.0
2026-08-12 02:00:00,5.6,7.9,9.6,33.0
2026-08-12 03:00:00,5.4,8.0,8.6,32.0
2026-08-12 04:00:00,5.4,8.4,8.3,31.0
2026-08-12 05:00:00,4.7,7.4,7.5,32.0
2026-08-12 06:00:00,4.9,7.7,8.1,32.0
2026-08-12 07:00:00,5.2,8.6,8.9,32.0
2026-08-12 08:00:00,5.8,9.6,8.9,35.0
2026-08-12 09:00:00,6.2,10.8,7.4,43.0
2026-08-12 10:00:00,6.5,11.9,5.3,54.0
2026-08-12 11:00:00,7.1,13.6,3.6,64.0
2026-08-12 12:00:00,7.0,13.2,2.8,72.0
2026-08-12 13:00:00,6.4,11.6,2.6,79.0
2026-08-12 14:00:00,5.7,9.5,3.2,83.0
2026-08-12 15:00:00,5.2,8.4,5.0,82.0
2026-08-12 16:00:00,5.1,8.1,7.6,77.0
2026-08-12 17:00:00,10.7,16.8,19.3,53.0
2026-08-12 18:00:00,12.2,16.8,21.7,48.0
2026-08-12 19:00:00,12.8,17.2,25.0,42.0
2026-08-12 20:00:00,12.9,17.5,26.5,37.0
2026-08-12 21:00:00,12.0,16.3,24.8,35.0
2026-08-12 22:00:00,11.5,15.7,21.3,34.0
2026-08-12 23:00:00,10.1,13.9,18.0,34.0
2026-08-13 00:00:00,8.8,12.4,15.3,34.0
2026-08-13 01:00:00,7.7,11.1,12.7,33.0
2026-08-13 02:00:00,6.8,10.1,10.6,33.0
2026-08-13 03:00:00,6.0,9.0,8.9,33.0
2026-08-13 04:00:00,5.2,7.7,7.7,32.0
2026-08-13 05:00:00,3.8,5.0,8.1,32.0
2026-08-13 06:00:00,3.6,4.5,8.3,32.0
2026-08-13 07:00:00,3.5,4.3,8.4,33.0
2026-08-13 08:00:00,3.5,4.2,8.0,36.0
2026-08-13 09:00:00,3.6,4.7,6.5,45.0
2026-08-13 10:00:00,3.6,4.7,4.4,58.0
2026-08-13 11:00:00,3.8,5.2,3.0,67.0
2026-08-13 12:00:00,3.7,5.2,2.5,70.0
2026-08-13 13:00:00,4.0,6.1,2.6,69.0
2026-08-13 14:00:00,7.6,13.8,3.8,67.0
2026-08-13 15:00:00,6.6,11.2,6.6,63.0
2026-08-13 16:00:00,8.1,13.0,10.5,58.0
2026-08-13 17:00:00,10.9,16.9,15.5,50.0
2026-08-13 18:00:00,13.2,17.5,19.8,44.0
2026-08-13 19:00:00,13.1,17.0,25.6,37.0
2026-08-13 20:00:00,13.0,16.7,29.0,31.0
2026-08-13 21:00:00,12.5,16.2,28.0,29.0
2026-08-13 22:00:00,12.1,16.0,24.6,29.0
2026-08-13 23:00:00,11.2,15.5,21.0,30.0
2026-08-14 00:00:00,9.7,14.3,17.5,31.0
2026-08-14 01:00:00,8.5,12.9,13.7,32.0
2026-08-14 02:00:00,7.3,11.1,10.9,33.0
2026-08-14 03:00:00,6.4,9.5,9.5,33.0
2026-08-14 04:00:00,5.6,8.1,8.9,32.0
2026-08-14 05:00:00,4.4,6.0,8.4,32.0
2026-08-14 06:00:00,4.3,5.9,9.0,31.0
2026-08-14 07:00:00,4.3,5.9,9.7,30.0
2026-08-14 08:00:00,4.8,6.7,9.5,33.0
2026-08-14 09:00:00,4.6,6.2,7.6,42.0
2026-08-14 10:00:00,4.3,6.2,4.9,55.0
2026-08-14 11:00:00,3.8,5.6,3.0,65.0
2026-08-14 12:00:00,3.9,5.7,2.2,71.0
2026-08-14 13:00:00,3.7,5.4,2.1,73.0
2026-08-14 14:00:00,4.6,7.7,3.5,73.0
2026-08-14 15:00:00,5.1,9.1,7.3,68.0
2026-08-14 16:00:00,5.9,9.7,12.5,60.0
2026-08-14 17:00:00,7.8,10.9,16.2,53.0
2026-08-14 18:00:00,10.1,12.7,18.5,49.0
2026-08-14 19:00:00,10.8,13.3,21.5,44.0
2026-08-14 20:00:00,9.6,12.0,23.2,39.0
2026-08-14 21:00:00,9.4,11.7,22.6,36.0
2026-08-14 22:00:00,9.3,11.4,20.7,33.0
2026-08-14 23:00:00,8.3,10.2,18.3,32.0
2026-08-15 00:00:00,6.6,8.3,15.1,33.0
2026-08-15 01:00:00,5.1,7.0,11.3,35.0
2026-08-15 02:00:00,4.3,6.3,8.5,36.0
2026-08-15 03:00:00,3.9,6.1,7.2,36.0
2026-08-15 04:00:00,3.9,6.5,6.9,36.0
2026-08-15 05:00:00,4.5,7.7,7.6,35.0
2026-08-15 06:00:00,4.9,8.3,8.2,35.0
2026-08-15 07:00:00,5.8,9.7,8.9,36.0
2026-08-15 08:00:00,5.7,10.1,9.0,38.0
2026-08-15 09:00:00,6.3,11.0,7.7,44.0
2026-08-15 10:00:00,7.1,13.7,5.7,51.0
2026-08-15 11:00:00,8.1,16.6,4.2,58.0
2026-08-15 12:00:00,9.3,19.7,3.4,64.0
2026-08-15 13:00:00,7.4,14.5,3.1,70.0
2026-08-15 14:00:00,6.3,11.5,3.4,73.0
2026-08-15 15:00:00,5.7,10.2,4.6,72.0
2026-08-15 16:00:00,5.7,10.0,6.4,67.0
2026-08-15 17:00:00,7.2,12.5,8.8,62.0
2026-08-15 18:00:00,9.8,14.6,12.8,56.0
2026-08-15 19:00:00,11.3,15.8,18.2,48.0
2026-08-15 20:00:00,11.0,15.1,21.5,41.0
2026-08-15 21:00:00,10.2,13.8,20.7,38.0
2026-08-15 22:00:00,9.7,13.1,17.7,37.0
2026-08-15 23:00:00,8.5,11.5,14.8,37.0
2026-08-16 00:00:00,7.1,9.7,12.5,37.0
2026-08-16 01:00:00,6.0,8.3,10.2,37.0
2026-08-16 02:00:00,5.2,7.5,8.4,37.0
2026-08-16 03:00:00,4.7,7.0,7.4,37.0
2026-08-16 04:00:00,4.4,6.8,7.0,36.0
2026-08-16 05:00:00,4.2,6.4,6.8,36.0
2026-08-16 06:00:00,4.3,6.5,7.0,36.0
2026-08-16 07:00:00,4.8,7.1,7.4,36.0
2026-08-16 08:00:00,5.2,8.4,7.2,38.0
2026-08-16 09:00:00,5.0,7.8,5.9,45.0
2026-08-16 10:00:00,5.6,10.1,4.0,54.0
2026-08-16 11:00:00,4.9,8.8,2.6,62.0
2026-08-16 12:00:00,5.3,10.3,2.0,67.0
2026-08-16 13:00:00,6.1,12.3,1.9,71.0
2026-08-16 14:00:00,7.1,14.7,2.2,72.0
2026-08-16 15:00:00,7.9,16.1,2.9,70.0
2026-08-16 16:00:00,8.0,15.7,4.1,67.0
2026-08-16 17:00:00,8.2,15.2,5.8,62.0
2026-08-16 18:00:00,9.1,14.7,8.6,57.0
2026-08-16 19:00:00,9.9,14.6,12.0,51.0
2026-08-16 20:00:00,9.8,13.9,14.0,46.0
2026-08-16 21:00:00,9.2,13.0,13.6,43.0
2026-08-16 22:00:00,8.7,12.5,11.8,41.0
2026-08-16 23:00:00,7.7,11.0,10.1,40.0
2026-08-17 00:00:00,6.6,9.3,8.8,39.0
2026-08-17 01:00:00,5.5,7.5,7.6,38.0
2026-08-17 02:00:00,4.4,5.8,6.7,38.0
2026-08-17 03:00:00,3.6,4.5,6.0,37.0
2026-08-17 04:00:00,3.1,3.9,5.6,37.0
2026-08-17 05:00:00,3.0,4.0,5.6,37.0
2026-08-17 06:00:00,3.6,5.3,6.3,37.0
2026-08-17 07:00:00,4.8,8.6,7.3,38.0
2026-08-17 08:00:00,6.2,12.5,7.7,41.0
2026-08-17 09:00:00,7.4,15.6,6.8,47.0
2026-08-17 10:00:00,8.1,17.9,5.2,55.0
2026-08-17 11:00:00,9.2,20.1,4.0,62.0
2026-08-17 12:00:00,10.4,22.5,3.4,68.0
2026-08-17 13:00:00,8.9,18.3,3.3,72.0
2026-08-17 14:00:00,8.6,17.3,3.8,74.0
2026-08-17 15:00:00,9.3,18.7,5.2,72.0
2026-08-17 16:00:00,10.1,20.1,7.4,67.0
2026-08-17 17:00:00,10.9,20.7,9.8,62.0
2026-08-17 18:00:00,12.5,20.7,12.9,56.0
2026-08-17 19:00:00,13.0,20.0,16.3,50.0
2026-08-17 20:00:00,11.5,16.8,18.3,45.0
2026-08-17 21:00:00,9.9,13.6,18.1,41.0
2026-08-17 22:00:00,9.0,11.8,16.7,39.0
2026-08-17 23:00:00,7.8,10.1,14.9,37.0
2026-08-18 00:00:00,6.4,8.4,12.9,37.0
2026-08-18 01:00:00,5.4,7.2,10.7,37.0
2026-08-18 02:00:00,4.7,6.2,9.1,37.0
2026-08-18 03:00:00,4.4,5.6,8.5,35.0
2026-08-18 04:00:00,4.2,5.5,8.5,33.0
2026-08-18 05:00:00,4.3,5.8,8.6,32.0
2026-08-18 06:00:00,4.8,6.7,8.8,32.0
2026-08-18 07:00:00,5.9,9.3,9.0,33.0
2026-08-18 08:00:00,6.5,11.6,8.7,37.0
2026-08-18 09:00:00,7.2,13.4,7.2,44.0
2026-08-18 10:00:00,7.8,14.7,5.1,53.0
2026-08-18 11:00:00,8.4,16.9,3.5,62.0
2026-08-18 12:00:00,7.7,15.4,2.6,70.0
2026-08-18 13:00:00,6.8,13.0,2.2,77.0
2026-08-18 14:00:00,6.2,11.6,2.8,80.0
2026-08-18 15:00:00,6.4,12.3,4.8,77.0
2026-08-18 16:00:00,7.5,15.1,7.8,70.0
2026-08-18 17:00:00,8.2,13.9,11.4,62.0
2026-08-18 18:00:00,9.1,13.1,16.4,54.0
2026-08-18 19:00:00,10.2,13.2,22.1,45.0
2026-08-18 20:00:00,10.4,12.7,25.5,39.0
2026-08-18 21:00:00,9.6,11.4,25.1,36.0
2026-08-18 22:00:00,8.6,10.0,22.5,36.0
2026-08-18 23:00:00,7.9,9.0,19.7,35.0
2026-08-19 00:00:00,6.7,7.7,17.3,34.0
2026-08-19 01:00:00,5.9,6.9,14.7,33.0
2026-08-19 02:00:00,5.4,6.4,12.6,32.0
2026-08-19 03:00:00,5.1,6.1,11.3,31.0
2026-08-19 04:00:00,4.8,5.7,10.6,30.0
2026-08-19 05:00:00,4.6,5.5,10.0,29.0
2026-08-19 06:00:00,4.4,5.2,9.8,29.0
2026-08-19 07:00:00,4.9,5.8,9.7,29.0
2026-08-19 08:00:00,4.7,6.7,9.1,32.0
2026-08-19 09:00:00,5.8,8.8,7.3,40.0
2026-08-19 10:00:00,5.6,9.4,5.0,50.0
2026-08-19 11:00:00,5.4,10.0,3.4,58.0
2026-08-19 12:00:00,5.5,10.4,2.6,62.0
2026-08-19 13:00:00,5.7,11.1,2.4,64.0
2026-08-19 14:00:00,6.4,13.4,3.7,63.0
2026-08-19 15:00:00,7.6,16.5,7.3,59.0
2026-08-19 16:00:00,6.4,11.6,12.3,52.0
2026-08-19 17:00:00,8.1,11.6,16.7,46.0
2026-08-19 18:00:00,8.8,11.6,20.3,40.0
2026-08-19 19:00:00,8.8,10.7,23.3,35.0
2026-08-19 20:00:00,8.3,9.5,24.7,31.0
2026-08-19 21:00:00,7.2,8.0,23.7,29.0
2026-08-19 22:00:00,6.7,7.2,21.1,28.0
2026-08-19 23:00:00,6.1,6.5,18.4,28.0
2026-08-20 00:00:00,5.2,5.6,16.0,28.0
2026-08-20 01:00:00,4.5,4.9,13.6,27.0
2026-08-20 02:00:00,4.1,4.6,11.8,27.0
2026-08-20 03:00:00,3.9,4.5,10.8,26.0
2026-08-20 04:00:00,3.9,4.6,10.4,25.0
2026-08-20 05:00:00,3.9,4.9,10.1,25.0
2026-08-20 06:00:00,4.0,5.8,10.1,25.0
2026-08-20 07:00:00,5.4,7.0,10.2,25.0
2026-08-20 08:00:00,5.1,7.0,9.6,29.0
2026-08-20 09:00:00,5.0,7.9,7.7,39.0
2026-08-20 10:00:00,5.0,8.4,5.1,52.0
2026-08-20 11:00:00,4.9,8.5,3.3,62.0
2026-08-20 12:00:00,5.1,8.9,2.5,67.0
2026-08-20 13:00:00,5.7,11.2,2.5,68.0
2026-08-20 14:00:00,6.0,12.6,3.3,68.0
2026-08-20 15:00:00,7.6,16.8,5.8,65.0
2026-08-20 16:00:00,8.1,17.4,9.1,60.0
2026-08-20 17:00:00,7.4,12.4,11.6,57.0
2026-08-20 18:00:00,,,,
2026-08-20 19:00:00,,,,
2026-08-20 20:00:00,,,,
2026-08-20 21:00:00,,,,
2026-08-20 22:00:00,,,,
2026-08-20 23:00:00,,,,
